Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured
0,14.88,54.96,278.34,277.35,278.27,194.96,7,35,0.01,0,0.89
1,14.88,54.96,277.94,278.24,278.77,194.7,7,35,0.01,0.01,0.89
2,14.88,54.96,277.82,277.83,277.41,195.2,7,35,0.01,0.01,0.88
3,14.88,54.96,277.67,277.97,278.63,195.63,7,35,0.01,0,0.88
4,14.88,54.96,278.76,278.13,278.14,194.8,7,35,0,0.01,0.88
5,14.88,54.95,277.9,278.1,278.17,194.9,7,35,0.01,0.01,0.89
6,14.89,54.96,277.02,278.4,278.74,195.25,7,34.99,0,0.01,0.88
7,14.87,54.96,278.29,277.7,277.77,195.13,7,35,0.01,0.01,0.89
8,14.88,54.96,278.07,277.66,277.28,195.04,7,35,0.01,0.01,0.89
9,14.88,54.96,277.42,278.61,278.17,194.59,7,35,0.01,0,0.88
10,14.88,54.96,278.48,278.17,278.47,194.81,7,35,0.01,0.01,0.88
11,14.88,54.96,277.69,278.12,278.5,194.85,7,35,0.01,0.01,0.88
12,14.88,54.96,277.88,277.55,278.18,194.78,7,35,0.01,0,0.89
13,14.88,54.96,279.18,277.25,278.16,195.4,7,35,0.01,0,0.88
14,14.88,54.96,278.53,277.63,277.69,195.59,7,35,0.01,0,0.89
15,14.88,54.96,278.5,276.86,277.91,195.2,7,35,0.01,0.01,0.89
16,14.88,54.95,278.33,278.03,278.1,195.27,7,35,0.01,0,0.88
17,14.88,54.96,278.28,278.56,277.36,195.74,7,35,0.01,0.01,0.89
18,14.88,54.96,278.62,277.77,278.37,195.65,7,35,0.01,0.01,0.89
19,14.88,54.96,276.64,278.24,278.36,195.06,7,35,0.01,0,0.89
20,14.88,54.96,277.85,277.44,278.37,195.25,7,35,0,0,0.88
21,14.88,54.96,277.4,277.34,277.55,195.34,7,35,0.01,0,0.88
22,14.88,54.96,277.37,277.89,278.05,194.89,7,35,0.01,0.01,0.89
23,14.88,54.96,278.9,277.86,278.2,194.93,7.01,35,0.01,0.01,0.89
24,14.87,54.96,277.51,277.97,278.28,194.74,7,35,0.01,0,0.88
25,14.88,54.96,278.36,278.23,277.42,194.86,7,35,0.01,0.01,0.89
26,14.88,54.95,277.85,277.31,277.89,194.3,7,35,0,0.01,0.88
27,14.88,54.96,277.89,277.43,278.5,194.53,7,35,0,0.01,0.89
28,14.88,54.95,277.85,278.55,277.6,194.85,7,35,0.01,0,0.88
29,14.88,54.96,278,278.17,278.75,194.61,7,35.01,0.01,0,0.89
30,14.88,54.96,278.2,277.05,277.08,194.86,7.01,35,0.01,0,0.89
31,14.88,54.96,278.58,277.65,277.63,195.18,7,35,0.01,0.01,0.89
32,14.88,54.96,278.01,277.7,278.01,194.69,7,35.01,0.02,0,0.88
33,14.88,54.96,278.27,277.67,277.69,195.66,7,35,0,0,0.89
34,14.88,54.96,277.58,276.83,277.42,194.51,7,35,0.01,0.01,0.89
35,14.87,54.96,278.24,277.69,277.13,195.15,7,35,0.01,0.01,0.88
36,14.88,54.96,277.26,278.9,278.94,195.13,7,35,0.01,0.01,0.88
37,14.88,54.96,277.67,278.53,277.84,195.43,7,35,0.01,0,0.88
38,14.88,54.96,278.38,278.91,278.25,194.34,7,35,0.01,0,0.89
39,14.88,54.95,277.63,278.35,278.48,195.53,7,35,0.01,0.01,0.88
40,14.88,54.95,277.51,278,278.23,195.11,7,35,0.01,0.01,0.88
41,14.88,54.96,277.41,278.15,278.72,195.17,7,35,0,0.01,0.89
42,14.88,54.96,278.07,278.1,277.94,195,7,35,0.01,0.01,0.88
43,14.88,54.96,277.37,278.6,278.01,194.88,7,35,0,0.01,0.88
44,14.88,54.96,278.33,277.6,279.07,195.29,7,35,0.01,0.01,0.88
45,14.88,54.96,278.13,278.61,279.05,194.59,7,35,0,0,0.88
46,14.88,54.96,277.62,277.94,278.86,194.69,7,35,0.01,0,0.89
47,14.88,54.96,278.43,277.57,277.46,194.75,7,35,0.01,0.01,0.89
48,14.88,54.96,278.03,278.15,278.36,195.55,7,35,0.01,0.01,0.88
49,14.88,54.96,277.82,278.47,278.44,194.74,7,35,0,0.01,0.89
50,14.88,54.96,278.64,277.03,278.11,194.94,7,35.01,0.01,0.01,0.89
51,14.88,54.96,277.96,277.97,277.59,195.38,7,35,0,0.01,0.89
52,14.88,54.96,277.59,277.85,278.68,194.98,7,35,0.01,0,0.88
53,14.88,54.96,278.16,278.01,278.23,194.58,7,35,0,0.01,0.88
54,14.88,54.95,277.97,277.56,277.52,194.76,7,35,0.01,0.01,0.88
55,14.88,54.96,277.88,277.88,277.65,194.64,7,35,0.01,0,0.88
56,14.88,54.96,278.06,277.4,278.57,194.81,7,35,0,0.01,0.88
57,14.88,54.96,278.32,277.7,277.58,195.02,7,35,0.01,0.01,0.89
58,14.88,54.96,278.26,277.94,278,194.67,7,35,0,0.01,0.89
59,14.88,54.96,278.4,278.11,278.69,194.98,7,35,0,0.01,0.89
60,14.88,54.96,278.18,277.73,278.15,195.59,7,35,0,0.01,0.89
61,14.88,54.95,277.84,277.88,278.7,194.48,7,35.01,0,0.01,0.88
62,14.88,54.96,278.44,278.46,278.1,195.19,7,34.99,0,0.01,0.89
63,14.89,54.96,277.33,277.8,278.23,194.79,6.99,34.99,0.01,0.01,0.89
64,14.88,54.96,278.5,277.86,277.97,194.7,7,35,0.01,0,0.88
65,14.88,54.96,277.36,278.34,278.08,194.84,7,35,0.01,0.01,0.89
66,14.88,54.96,278.32,278.3,278.92,194.53,7.01,35,0.01,0.01,0.88
67,14.88,54.96,278.66,277.6,277.73,194.94,7,35,0.01,0.01,0.88
68,14.88,54.96,277.96,277.83,278.3,194.47,7,35,0.01,0.01,0.89
69,14.88,54.96,278.82,277.59,277.89,195.16,7,35,0,0,0.88
70,14.88,54.95,277.63,277.25,277.71,195.7,7,35,0.01,0.01,0.88
71,14.87,54.96,278.86,278.63,278.49,195.05,7,34.99,0.01,0,0.88
72,14.88,54.96,277.58,278.46,278.11,195.11,7,35,0,0,0.89
73,14.87,54.96,277.76,277.96,277.84,194.94,7,35,0.01,0.01,0.88
74,14.88,54.96,278.06,278.31,277.18,194.85,7,35,0,0.01,0.89
75,14.88,54.96,278.59,277.69,278.61,194.85,7,35,0,0.01,0.89
76,14.88,54.96,277.46,278.07,277.44,194.9,7,35,0.01,0.01,0.88
77,14.88,54.96,278.09,278.35,277.37,194.94,7,35.01,0.01,0.01,0.89
78,14.88,54.96,277.86,278.18,277.82,195.1,7,35,0.01,0,0.88
79,14.88,54.96,276.6,278.31,278.62,195.41,7,35,0.01,0.01,0.88
80,14.88,54.96,277.43,277.4,278.23,194.9,7.01,34.99,0.01,0.01,0.89
81,14.89,54.95,278.74,278.65,277.92,194.84,7,35,0,0.01,0.89
82,14.88,54.96,277.91,277.61,278.44,195.1,7,35,0,0.01,0.89
83,14.88,54.96,278.19,277.8,278.06,195.22,7,35,0.01,0.01,0.88
84,14.88,54.96,277.79,277.25,277.8,194.89,7,35,0.01,0.01,0.88
85,14.88,54.96,277.8,278.07,278.01,194.86,7,35,0.01,0.01,0.89
86,14.88,54.96,277.54,278.64,278.32,195.19,7,35,0.02,0.01,0.89
87,14.88,54.96,278.4,278,277.47,194.95,7,35,0,0.01,0.88
88,14.88,54.96,278.2,277.4,277.75,195.3,7,35,0,0,0.88
89,14.88,54.95,278.05,277.94,277.92,194.64,7,35,0.01,0,0.88
90,14.87,54.96,277.88,278.49,278.18,194.47,7,35,0.01,0.01,0.89
91,14.88,54.96,277.68,277.73,278.3,194.98,7,35,0.01,0,0.88
92,14.88,54.96,277.91,276.89,277.89,195.61,7,35,0.01,0,0.88
93,14.88,54.95,278.13,278.16,277.6,195.71,7,35,0.01,0.01,0.88
94,14.88,54.96,278.39,278.48,277.68,195.14,7,35,0.01,0.01,0.88
95,14.88,54.96,277.66,277.47,278.14,194.9,7,35,0,0,0.89
96,14.88,54.96,278.03,277.86,278.39,194.75,7,35,0.01,0.01,0.88
97,14.88,54.96,278.72,277.88,278.01,195.25,7,35.01,0.01,0.01,0.89
98,14.88,54.95,277.98,278.91,277.42,194.71,7,35,0,0.01,0.89
99,14.88,54.96,277.82,276.66,277.56,195.13,6.99,35,0.01,0.01,0.88
100,14.88,54.96,277.77,278.82,278.1,195.71,7,35,0.01,0,0.88
101,14.88,54.96,277.9,278.11,278.06,194.92,7,35,0.01,0.01,0.89
102,14.88,54.96,278.1,279.23,277.58,195.02,7,35,0,0.01,0.88
103,14.88,54.96,277.65,277.97,277.7,195.27,7,35,0.01,0.01,0.89
104,14.88,54.96,277.95,278.37,278.84,195.02,7,35,0.01,0,0.88
105,14.88,54.96,277.66,277.41,278.33,194.8,7,35,0.01,0.01,0.88
106,14.88,54.96,277.67,277.73,278.86,195.43,7,35,0.01,0,0.89
107,14.88,54.96,278.26,277.97,277.55,195.13,7,35.01,0,0.01,0.88
108,14.88,54.96,278.08,277.14,278.32,194.62,7,35,0.01,0.01,0.88
109,14.88,54.96,277.76,278.44,277.94,194.69,7,35,0.01,0,0.89
110,14.88,54.96,277.9,278.82,278.19,195.1,6.99,34.99,0.01,0.01,0.88
111,14.88,54.96,277.75,277.1,277.87,194.17,7,35,0.01,0.01,0.89
112,14.88,54.96,277.19,276.81,278.39,194.93,7,35,0.01,0,0.88
113,14.88,54.96,277.89,277.75,278.22,195.66,7,35,0.01,0,0.89
114,14.88,54.96,278.47,277.59,278.19,194.82,6.99,35,0.01,0.01,0.89
115,14.88,54.96,278.11,277.89,277.38,194.8,7,35,0.01,0.01,0.89
116,14.87,54.96,277.58,277.57,278.7,194.85,7,35,0.01,0.01,0.89
117,14.88,54.96,278.25,278.33,277.95,194.43,7,35,0.01,0.01,0.89
118,14.88,54.96,278.13,278.67,278.24,195.18,7,35,0.01,0,0.88
119,14.88,54.96,278,277.47,278.57,194.4,7,35,0.01,0,0.89
120,14.88,54.96,277.56,278.11,278.12,195.15,7,35,0.01,0.01,0.89
121,14.89,54.95,277.81,278.15,277.8,195.23,6.99,35,0,0.01,0.89
122,14.88,54.96,278.35,278.08,278.42,194.8,7,35,0.01,0.01,0.89
123,14.88,54.96,278.35,278.48,278.29,195.2,6.99,35,0,0,0.89
124,14.88,54.96,278.9,277.31,277.62,194.76,7,35,0.01,0.01,0.88
125,14.88,54.96,277.81,277.92,277.66,194.58,7,35,0.01,0,0.88
126,14.88,54.96,278.06,278.1,277.68,194.76,7,34.99,0.01,0.01,0.88
127,14.88,54.96,277.86,277.66,278.49,195.37,7,35,0.01,0.01,0.89
128,14.88,54.96,278.94,276.95,278.25,194.79,7,35,0.01,0,0.88
129,14.88,54.96,277.16,278.23,278.27,195.2,7,35,0.01,0.01,0.88
130,14.88,54.96,277.75,278.45,278.94,195.78,7,35,0.01,0,0.88
131,14.88,54.96,277.79,278.08,278.47,194.87,7,35,0.01,0,0.89
132,14.88,54.96,277.5,277.86,277.5,194.86,6.99,35,0.01,0.01,0.89
