Time,v_LO_control,v_LE_control,c_LO_measured,c_RE_measured
0,0.5,0.5,14.88,54.96
1,0.5,0.5,14.88,54.96
2,0.5,0.5,14.88,54.96
3,0.5,0.5,14.88,54.96
4,0.5,0.5,14.88,54.96
5,0.5,0.5,14.89,54.96
6,0.5,0.5,14.88,54.96
7,0.5,0.5,14.89,54.96
8,0.5,0.5,14.88,54.96
9,0.5,0.5,14.88,54.96
10,0.5,0.5,14.88,54.95
11,0.5,0.5,14.88,54.96
12,0.5,0.5,14.88,54.96
13,0.5,0.5,14.88,54.96
14,0.5,0.5,14.88,54.96
15,0.5,0.5,14.88,54.96
16,0.5,0.5,14.88,54.96
17,0.5,0.5,14.88,54.95
18,0.5,0.5,14.88,54.95
19,0.5,0.5,14.88,54.96
20,0.5,0.5,14.88,54.96
21,0.5,0.5,14.88,54.96
22,0.5,0.5,14.88,54.96
23,0.5,0.5,14.88,54.96
24,0.5,0.5,14.88,54.96
25,0.5,0.5,14.88,54.96
26,0.5,0.5,14.88,54.96
27,0.5,0.5,14.88,54.96
28,0.5,0.5,14.88,54.96
29,0.5,0.5,14.88,54.95
30,0.5,0.5,14.88,54.96
31,0.5,0.5,14.88,54.96
32,0.5,0.5,14.88,54.96
33,0.5,0.5,14.87,54.95
34,0.5,0.5,14.88,54.96
35,0.5,0.5,14.88,54.96
36,0.5,0.5,14.88,54.96
37,0.5,0.5,14.88,54.96
38,0.5,0.5,14.88,54.96
39,0.5,0.5,14.88,54.96
40,0.5,0.5,14.88,54.96
41,0.5,0.5,14.88,54.96
42,0.5,0.5,14.88,54.96
43,0.5,0.5,14.88,54.96
44,0.5,0.5,14.88,54.96
45,0.5,0.5,14.88,54.96
46,0.5,0.5,14.88,54.96
47,0.5,0.5,14.88,54.96
48,0.5,0.5,14.88,54.96
49,0.5,0.5,14.87,54.95
50,0.5,0.5,14.88,54.95
51,0.5,0.5,14.88,54.96
52,0.5,0.5,14.88,54.96
53,0.5,0.5,14.88,54.96
54,0.5,0.5,14.88,54.96
55,0.5,0.5,14.88,54.96
56,0.5,0.5,14.88,54.96
57,0.5,0.5,14.88,54.96
58,0.5,0.5,14.88,54.96
59,0.5,0.5,14.88,54.96
60,0.5,0.5,14.88,54.96
61,0.5,0.5,14.88,54.96
62,0.5,0.5,14.88,54.96
63,0.5,0.5,14.88,54.96
64,0.5,0.5,14.88,54.96
65,0.5,0.5,14.88,54.96
66,0.5,0.5,14.88,54.96
67,0.5,0.5,14.88,54.96
68,0.5,0.5,14.88,54.95
69,0.5,0.5,14.88,54.96
70,0.5,0.5,14.88,54.96
71,0.5,0.5,14.88,54.96
72,0.5,0.5,14.88,54.96
73,0.5,0.5,14.88,54.96
74,0.5,0.5,14.89,54.96
75,0.5,0.5,14.88,54.96
76,0.5,0.5,14.87,54.95
77,0.5,0.5,14.88,54.96
