Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured,v_LO_control,v_LO_valve,v_LE_control,v_LE_valve,v_LO_state,v_LE_state,process_state
0,14.91,54.98,283.13,278.38,284.93,195.11,7.03,35.08,0.02,0,0.89,0.51,0.51,0.5,0.5,0,0,0
30,14.86,55,281.54,282.14,282.75,201.7,6.99,35.13,0,0.01,0.91,0.51,0.51,0.5,0.5,0,0,0
60,14.88,54.97,275.33,285.99,282.15,197.13,7.01,35.11,0.02,0.03,0.91,0.51,0.51,0.5,0.5,0,0,0
90,14.87,54.97,283.48,281.76,277.77,193.93,7,35.09,0.02,0,0.91,0.51,0.51,0.5,0.5,0,0,0
120,14.86,54.98,275.46,285.99,279.3,196.24,7.04,35.08,0,0,0.9,0.51,0.51,0.5,0.5,0,0,0
150,14.91,54.95,290.53,284.12,293.12,195.28,7.06,35.06,0,0,0.86,0.52,0.52,0.5,0.5,0,0,0
180,14.9,54.96,280.09,288.43,289.84,196.46,7,35.13,0.04,0.01,0.93,0.51,0.51,0.5,0.5,0,0,0
210,14.88,54.97,279.2,277.69,270.56,194.65,6.99,35.09,0,0.04,0.95,0.5,0.5,0.5,0.5,0,0,0
240,14.92,54.98,287.91,296.21,294.51,197.88,6.92,35.07,0.01,0,0.9,0.52,0.52,0.5,0.5,0,0,0
270,14.9,55,283.4,282.93,285.92,195.37,6.98,35.12,0.06,0,0.86,0.51,0.51,0.5,0.5,0,0,0
300,14.92,54.92,282.27,283.69,281.46,199.56,7.05,35.07,0,0,0.89,0.51,0.51,0.5,0.5,0,0,0
330,14.84,54.96,275.76,282.13,279.77,197.64,7.08,35.12,0,0.04,0.87,0.51,0.51,0.5,0.5,0,0,0
360,14.87,55.02,284.8,287.93,289,201.47,6.96,35.12,0.05,0,0.87,0.51,0.51,0.5,0.5,0,0,0
390,14.84,54.95,279.8,285.55,283.12,194.44,7.08,35.15,0.01,0,0.87,0.51,0.51,0.5,0.5,0,0,0
420,14.84,54.94,271,278.84,273.65,195.06,7.05,35.11,0.01,0,0.9,0.5,0.5,0.5,0.5,0,0,0
450,14.86,54.94,283.04,283.95,284.72,198.14,7.05,35.08,0,0.01,0.85,0.51,0.51,0.5,0.5,0,0,0
480,14.84,54.9,278.36,278.85,277.08,201.48,6.99,35.05,0.03,0,0.95,0.5,0.5,0.5,0.5,0,0,0
510,14.85,54.96,275.05,279,286.53,195.38,7.08,35.12,0,0.01,0.86,0.5,0.5,0.5,0.5,0,0,0
540,14.92,54.95,280.38,288.67,285.6,197.86,6.99,35.07,0,0.02,0.9,0.51,0.51,0.5,0.5,0,0,0
570,14.88,55,283.67,284.91,289.2,194.81,7.08,35.16,0.01,0,0.9,0.52,0.52,0.5,0.5,0,0,0
600,14.86,54.97,284.97,282.86,290.46,194.66,7.02,35.11,0.03,0.03,0.9,0.51,0.51,0.5,0.5,0,0,0
630,14.9,54.92,285.87,281.52,292.09,196.56,7.08,35.16,0,0,0.9,0.52,0.52,0.5,0.5,0,0,0
660,14.89,54.96,281.74,286.95,283.77,192.07,7.04,35.12,0.03,0.05,0.9,0.51,0.51,0.5,0.5,0,0,0
690,14.86,54.94,280.46,283.87,290.1,191.14,7.05,35.12,0,0,0.86,0.51,0.51,0.5,0.5,0,0,0
720,14.93,54.95,289.48,288.06,293.6,195.17,7.01,35.07,0.08,0,0.89,0.52,0.52,0.5,0.5,0,0,0
750,14.88,55,279.33,288.63,281.46,195.86,7.01,35.09,0.03,0,0.86,0.51,0.51,0.5,0.5,0,0,0
780,14.84,54.91,278.79,286.54,279.46,193.52,7.03,35.1,0,0,0.87,0.51,0.51,0.5,0.5,0,0,0
810,14.9,54.97,275.26,285.77,278.45,191.65,7.04,35.1,0.04,0,0.9,0.51,0.51,0.5,0.5,0,0,0
840,14.87,55.05,280.24,287.81,284.08,193.61,7.03,35.09,0,0.01,0.87,0.51,0.51,0.5,0.5,0,0,0
870,14.86,54.91,278.37,277.45,280.43,200.21,7.02,35.04,0,0.05,0.89,0.5,0.5,0.5,0.5,0,0,0
900,14.87,54.94,278.53,289.78,284.16,200.17,6.99,35.1,0.07,0,0.9,0.51,0.51,0.5,0.5,0,0,0
930,14.94,55.27,284.54,285.68,291.06,194.1,7.04,35.09,0,0.04,0.87,0.52,0.52,0.5,0.5,0,0,0
960,14.98,55.24,270.09,281.13,279.11,199.55,7.04,35.15,0.09,0,0.88,0.5,0.5,0.5,0.5,0,0,0
990,14.97,55.21,282.21,293.4,290.19,191.56,7.02,35.07,0,0,0.92,0.52,0.52,0.5,0.5,0,0,0
1020,14.98,55.33,279.32,283.77,280.9,196.69,7.04,35.14,0,0,0.93,0.51,0.51,0.5,0.5,0,0,0
1050,14.99,55.29,279.3,288.25,274.8,197.88,7,35.07,0.02,0.02,0.96,0.51,0.51,0.5,0.5,0,0,0
1080,14.93,55.3,281.84,288.15,288.74,197.23,7.02,35.04,0,0,0.87,0.52,0.52,0.5,0.5,0,0,0
1110,14.92,55.38,282.66,282.51,286.52,197.81,6.98,35.12,0,0,0.87,0.51,0.51,0.5,0.5,0,0,0
1140,14.91,55.28,276.56,281.56,270.9,195.68,7.04,35.14,0,0.01,0.85,0.51,0.51,0.5,0.5,0,0,0
1170,15.02,55.22,278.78,297.24,295.3,193.95,6.99,35.09,0,0,0.88,0.52,0.52,0.5,0.5,0,0,0
1200,14.98,55.29,285.68,287.55,288.01,199.76,6.98,35.1,0.02,0,0.9,0.52,0.52,0.5,0.5,0,0,0
1230,14.92,55.32,278.26,284.79,284.83,196.22,7.01,35.12,0,0.05,0.88,0.51,0.51,0.5,0.5,0,0,0
